ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[Hit]Hit	AOI[Miss]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	60	09:33:12.465	1439477444014756	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	11	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	63	09:33:12.468	1439477444018089	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	12	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	66	09:33:12.472	1439477444021395	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	13	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	70	09:33:12.475	1439477444024728	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	14	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	73	09:33:12.478	1439477444028061	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	15	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	76	09:33:12.482	1439477444031394	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	16	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	80	09:33:12.485	1439477444034742	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	17	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	83	09:33:12.488	1439477444037997	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	18	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	86	09:33:12.492	1439477444041363	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	19	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
2/17/2021	3.3.1	CalibrationVerificationExperiment_2016_02_08	CalibrationVerification	JE000054_03_04	JE000054_03_04_calver2	8/13/2015	16902	1920 x 1080		I-VT filter	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	90	09:33:12.495	1439477444044720	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	Unclassified	135	-9999	-9999	-9999	-9999	-9999	-9999	-9999	20	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-42.46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	4	4	-9999	-9999	-9999	
